﻿시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
강원도 강릉시 견소동,202,202,0,송정한신,59.8,202304,3,"19,000",14,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도 강릉시 견소동,202,202,0,송정한신,84.93,202304,11,"25,500",6,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도 강릉시 견소동,202,202,0,송정한신,84.93,202304,21,"26,400",7,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도 강릉시 견소동,202,202,0,송정한신,59.8,202304,25,"19,500",15,1997,경강로2539번길 8,,중개거래,강원 강릉시
강원도 강릉시 교동,1984,1984,0,강릉교동풍림아이원아파트,84.9964,202304,24,"36,300",3,2017,화부산로40번길 29,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202304,7,"24,500",6,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,202304,12,"32,000",3,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,84.84,202304,14,"31,500",11,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1750,1750,0,교동1주공,59.89,202304,22,"24,500",6,1999,가작로 78,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,202304,10,"23,000",1,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,1766,1766,0,교동3주공,59.86,202304,14,"25,000",2,2002,교동광장로 138-12,,중개거래,강원 강릉시
강원도 강릉시 교동,18-16,18,16,교동대림,59.84,202304,7,"18,900",12,1997,수리골길17번길 21,,중개거래,강원 강릉시
강원도 강릉시 교동,18-16,18,16,교동대림,59.84,202304,10,"17,400",17,1997,수리골길17번길 21,,중개거래,강원 강릉시
강원도 강릉시 교동,1773,1773,0,부영1,49.92,202304,12,"14,350",5,1999,정원로 53-4,,중개거래,강원 강릉시
강원도 강릉시 교동,1773,1773,0,부영1,49.92,202304,20,"18,800",6,1999,정원로 53-4,,중개거래,강원 강릉시
강원도 강릉시 교동,1775,1775,0,부영6,59.987,202304,12,"23,000",10,2003,정원로 53-9,,중개거래,강원 강릉시
강원도 강릉시 금학동,07월 05일,7,5,금학상가,83.22,202304,11,"34,500",6,1992,금성로 20,,직거래,-
