행정기관,총_인구수,세대수,세대당_인구,남자_인구수,여자_인구수,성비
전국,"51,408,155","23,814,826",2.16,"25,617,485","25,790,670",0.99
서울특별시,"9,422,710","4,465,391",2.11,"4,563,512","4,859,198",0.94
부산광역시,"3,311,402","1,561,666",2.12,"1,615,593","1,695,809",0.95
대구광역시,"2,357,881","1,074,370",2.19,"1,159,042","1,198,839",0.97
인천광역시,"2,976,338","1,333,148",2.23,"1,489,277","1,487,061",1.00
광주광역시,"1,426,625","654,192",2.18,"704,974","721,651",0.98
대전광역시,"1,445,214","677,706",2.13,"720,934","724,280",1.00
울산광역시,"1,107,134","487,447",2.27,"568,824","538,310",1.06
세종특별자치시,"385,825","160,474",2.40,"192,316","193,509",0.99
경기도,"13,607,919","5,942,067",2.29,"6,847,848","6,760,071",1.01
강원도,"1,533,356","758,699",2.02,"771,382","761,974",1.01
충청북도,"1,594,109","776,038",2.05,"810,806","783,303",1.04
충청남도,"2,125,333","1,026,355",2.07,"1,088,126","1,037,207",1.05
전라북도,"1,764,181","859,599",2.05,"877,966","886,215",0.99
전라남도,"1,813,439","910,897",1.99,"913,624","899,815",1.02
경상북도,"2,592,205","1,292,951",2.00,"1,308,840","1,283,365",1.02
경상남도,"3,267,369","1,521,214",2.15,"1,645,335","1,622,034",1.01
제주특별자치도,"677,115","312,612",2.17,"339,086","338,029",1.00
