날짜,종가,오픈,고가,저가,거래량,변동 %
2023년 06월 08일,"26,501.10","26,341.80","26,784.40","26,231.30",39.95K,0.60%
2023년 06월 07일,"26,342.50","27,230.20","27,342.00","26,141.00",77.48K,-3.26%
2023년 06월 06일,"27,230.20","25,745.60","27,325.20","25,425.60",88.61K,5.76%
2023년 06월 05일,"25,747.40","27,122.30","27,125.50","25,437.50",85.42K,-5.07%
2023년 06월 04일,"27,122.30","27,070.90","27,410.20","26,956.10",23.81K,0.19%
2023년 06월 03일,"27,072.00","27,246.00","27,317.50","26,931.40",20.62K,-0.63%
2023년 06월 02일,"27,244.70","26,819.00","27,299.40","26,541.30",49.37K,1.59%
2023년 06월 01일,"26,819.00","27,216.40","27,340.90","26,662.30",51.98K,-1.46%
2023년 05월 31일,"27,216.10","27,696.90","27,825.00","26,865.10",63.08K,-1.74%
2023년 05월 30일,"27,698.20","27,738.90","28,033.60","27,583.80",45.19K,-0.15%
2023년 05월 29일,"27,739.40","28,068.40","28,431.20","27,548.80",54.56K,-1.18%
2023년 05월 28일,"28,071.20","26,855.30","28,181.90","26,788.50",55.23K,4.52%
2023년 05월 27일,"26,857.50","26,711.20","26,882.90","26,591.20",18.68K,0.55%
2023년 05월 26일,"26,711.50","26,475.50","26,911.60","26,330.00",45.88K,0.89%
2023년 05월 25일,"26,475.80","26,327.10","26,589.20","25,892.50",50.17K,0.56%
2023년 05월 24일,"26,328.40","27,220.70","27,220.70","26,088.70",72.65K,-3.28%
2023년 05월 23일,"27,220.70","26,851.60","27,448.10","26,804.10",50.89K,1.39%
2023년 05월 22일,"26,847.30","26,749.90","27,048.90","26,546.10",35.56K,0.36%
2023년 05월 21일,"26,749.90","27,116.20","27,257.10","26,677.60",27.42K,-1.35%
2023년 05월 20일,"27,116.20","26,883.00","27,147.20","26,831.30",17.72K,0.87%
2023년 05월 19일,"26,882.90","26,828.20","27,154.70","26,711.30",36.67K,0.20%
2023년 05월 18일,"26,828.00","27,403.80","27,467.00","26,449.80",63.39K,-2.10%
2023년 05월 17일,"27,403.10","27,035.50","27,465.30","26,597.70",58.14K,1.36%
2023년 05월 16일,"27,035.30","27,183.90","27,295.30","26,881.90",45.29K,-0.55%
2023년 05월 15일,"27,183.90","26,920.40","27,651.70","26,752.10",53.27K,0.98%
2023년 05월 14일,"26,920.00","26,777.40","27,176.10","26,609.90",26.35K,0.53%
2023년 05월 13일,"26,777.50","26,798.70","27,011.90","26,695.60",27.95K,-0.08%
2023년 05월 12일,"26,799.20","26,983.10","27,044.00","25,853.10",87.49K,-0.68%
2023년 05월 11일,"26,983.50","27,604.30","27,607.40","26,766.20",62.85K,-2.25%
2023년 05월 10일,"27,603.30","27,634.30","28,311.70","26,885.70",91.45K,-0.11%
2023년 05월 09일,"27,634.90","27,670.50","27,816.00","27,366.30",49.75K,-0.13%
2023년 05월 08일,"27,670.50","28,424.80","28,627.80","27,280.30",85.72K,-2.65%
2023년 05월 07일,"28,424.80","28,857.10","29,122.00","28,419.60",36.50K,-1.50%
2023년 05월 06일,"28,857.10","29,512.80","29,816.40","28,414.90",58.94K,-2.22%
2023년 05월 05일,"29,513.20","28,842.20","29,653.90","28,825.30",74.52K,2.33%
2023년 05월 04일,"28,842.10","29,023.60","29,352.70","28,687.40",53.80K,-0.63%
2023년 05월 03일,"29,023.60","28,669.10","29,244.70","28,164.40",81.22K,1.24%
2023년 05월 02일,"28,669.10","28,079.00","28,877.40","27,913.20",65.33K,2.11%
2023년 05월 01일,"28,077.60","29,252.10","29,329.60","27,685.90",84.36K,-4.02%
